name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date,start_date_local,timezone,utc_offset,map,start_latlng,end_latlng,average_speed,max_speed,elev_high,elev_low,pr_count,distance_miles,moving_time_minutes,moving_time_hours
PMRP : Lode Loop and Drive By Loop,5532.4,1884,1967,124.0,Run,2023-07-15T21:24:26Z,2023-07-15T17:24:26Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9458318004', 'summary_polyline': 'aowdFvk}}N@KAEB?L_@Gg@CEOGEDI@ABE?MPAB@FCGFG@MNQLaA?ODk@JKHUDi@Bi@J]CM@_@PYLEBYGI@GU]YKIK?GE?CE@MKMKGI_@ICSY@MMC?EQQAKOCIKIAWa@?EMKGCOk@IG@ICEBEAk@SBAAB@?IGIECEMUCIKKCCIMIGb@GC?XIAA@?NGHFBk@MlAJwAf@d@JBCFB?JCBBBUDJTGDB??@KVB@ED@BCX@FANFGDDK@@BGACVBDAGHBLN@LNVHFAGF\\\\QDB@CB@DHAPDHDADFD?ZLAF@FLDDRJDVX@XRN@FRDJLF?FFLBBLHF?FHPI^?HCRILETQPG@INGDKEUBIIYGOZ@NFLFDDFLFBHDBGXNJLAHNLJ@DLHf@BRMNAHSX?DLAbABN?V@HOP[BACs@d@ORSLQj@o@n@_@d@GVOLG^GHUp@KNUd@M^MXYx@Eh@OTKXMR@HSXMZMl@EHUfB@RARZp@@NHXEDFR@TP^HZBz@GZ?FQT]~@EBMT@HCPGAIHGPOLCv@IX?Tq@tA?VIVA\\ER?`@S~@EH?RCTSfACD?JEF?DY`@AJYh@GHMDARGPAJd@ZAXGLOd@Y\\MDCDQBQCSRI^?RDPTEHn@@D@AABBEBA?DCCBEBFEMKCBAAICIC??GC?D?EABA?F@CEAB?ADB?A@@?ADB@?DaFw@@Gu@JGBECOBOEE@IC?EE?SF]GAI[DKBAESLEAs@b@]GWMG?GKASIQAKKIDGG?QOGMYMDKEEY@KEEMO@ACg@KMKIKEBEIG?EIBOGIGBECAHGAGQQIDQHI?GIOGGDCJR?JD?CDRKA?TSfA?DHJ?d@IBEPEZFRKTAHIBKDEECDG?GGMEEHQEA@GECSC?DEEUCJQJTF@DM@WDKMWAKBCA??BF?@FPDHLBHAFLBLKVFNRBHFCLFL?RJR?RDBFJHFAJHLADBFNP@DHJBVIFFBAHGb@BPCD@?HJCDDFARFJFT@BFHHFDFAV\\FEV@h@b@XBDHF@d@]B@DC\\m@b@aBHq@b@uB?QDCA]FKJkAh@gADOH{@BELc@LWRQ@K`@w@D[Rc@BSBa@FID?XRPZHDRVN?@WCGg@GEIGCQQ?ESIOUGM?MOQGa@?WEI@GGUU}@Ce@Hg@CIDCd@uBFKl@uAB[h@}AFGNe@Ve@LM@KLYBMLSJYBE@KT]F?BCN_@NGHMDOJEJU\\]FANWTMf@EJS', 'resource_state': 2}","[37.644814336672425, -83.71403069235384]","[37.64471283182502, -83.71428340673447]",2.936,10.748,338.3,259.0,0,3.44,31.4,0.52
PMRP : Lode Loop and Sore Heel loop,7940.5,2861,2886,153.7,Run,2023-07-13T21:28:17Z,2023-07-13T17:28:17Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9446383475', 'summary_polyline': 'onwdFzl}}NI{@Dw@GSm@FMTBW\\YH]Cm@PY?ULY?OLK@_@KSNk@RUJy@G[Ug@WOYk@q@s@GWQIK_@c@YGS[]Gc@WYKy@I@Ia@SCSQFACNq@o@Ua@O`DXUGBJLMNJHGDDHYP@VWZO\\FHTDOj@@K?Hd@XBXNNXKFBLv@ELPHb@UP@R`@BRNL@Vp@j@TFd@d@Dd@INCb@KVWVWDMT]K[C?VH`@LPCJHBPb@\\F@JRLr@BN[ZEBNHFDpBMP[@{@j@IA[r@s@|@ALm@j@Op@KLG^q@z@Mp@S`@Kp@ONDFAF_@\\EZ@NIXWTU\\_@hBYFe@[UGIESu@QKUDe@KSLk@SKLUBo@EUN]]O_@UFQCAWMUG?EHg@g@SAGCEK_@?Qg@WGe@BGMYEAIQICMUGBKIc@BGi@GIi@IYOIYeAMOSeATe@Ys@G[Es@HO?MDCAc@IIMi@KGEi@IQ@g@L_@A]DMCMFKQk@?OMQHa@E_@S[BKGA@GKQAi@OY?m@K]JkAQCI_@KKAa@IIFEECHWEM]FIAAF_@?MDILE\\[d@g@LYXAPk@FH\\NHDCCE\\RTBf@f@?XGp@Nn@Dh@Qx@QTi@d@WFm@t@E^NNB\\Oh@B^JHb@En@\\f@r@Bb@Gr@z@`AW|AHRpA|@RB\\THP\\TRd@NLGVOHBREDi@KYN{@@[LSMa@FEAUQKJo@ImA~@CLFJVVd@CZl@ZTBH@PRWPC^]AFf@Jr@BXUr@ADE\\?XP^FDGfAEt@d@P^VTNh@?PS\\M?]RQBAGGXZ`AbAv@v@@BGVCf@NbBVh@@|BOfAa@NCRLFNHhBMr@i@NYI]L_@?c@FaAZQ\\fBFHL^@xAd@vBE\\KR[Nu@D_APW?QJITNAh@H`@In@]f@Uf@Mh@i@`AFLQjAO`@k@z@AXHFI^@R_@dAChAGFQz@o@vBMB]`@?h@`@T?XKj@ML@Ns@ZW?GQ`@s@XcADc@`@[RWTm@T_AJeAL]`@gBASFS@mAj@eAb@{BDGN?F[^w@NQBYHEJa@BaAN@P`@t@f@HEQY[Iw@q@Os@KOWuAA_@Q]E[b@qCjAoCNaATWRs@NORu@TW\\eAbBoCPIR_@VONWp@IHO', 'resource_state': 2}","[37.6447225548327, -83.71421199291945]","[37.64474954456091, -83.71427284553647]",2.775,9.488,305.7,259.0,0,4.93,47.68,0.79
PMRP : Sore Heel Loop,7090.5,2341,2365,210.0,Run,2023-07-12T20:20:42Z,2023-07-12T16:20:42Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9439898989', 'summary_polyline': 'inwdFfm}}NBFONWHKEAEQ?QHWb@UBMd@qA`BQZK\\GZKPERe@r@Sp@U^Qj@C`@_@l@G^QX@Rc@d@IPQhAGDi@YY{@e@Sa@?QM_@XWGEIGFGEGFWASHSCOJCAELGBICQi@EBUUYLAa@ISOIY@UUEYe@BEIMJIAMYYU?KQ?ULKPQQKBGKEBEOEYBKSMEc@i@KEYBOUg@KAGOAa@MQIa@OYDKG]HKBQIU[]@w@LWHe@Q_@AUSYSwA@_@JICADyAWsADOOs@MQBIEMBKO_@CWKO?OKM@ODEECDIAEDQD_@KKA]g@u@K_@IEBKEACOBUFEQDADKASZOBQ^DNGDCEBJUJGRUD_@R_@`@GCCD@`@XBBBEBJFt@RVNBTE\\O^Z|@]xA[VSb@Q@_@b@GEUN@t@RP@NARSVF`@^DADJCz@PLTX\\BXO\\?PJN?VNLNBRZAZKREVJJ@ZLXj@HJJAFFAJLVHFEE@DFCJLFKN?FD?GPK@{@IEXUBEB@HSBGQWMMUYBg@TCBBBe@P?HEHWEIK?FGFBKCSFO?GIb@UWUDWKAHFHQZ?JAIWW?NGPEAMTUD@JEEUJECAPCDBSQVw@\\_@VjA~C[B`B]?Oz@_AAIFEBe@@RPUNl@J?FRDE?LC@LIEHXKh@@PQNHPGLLDGL^^IZYXAVXLDAB\\WTAt@ODKBFT@DHNBJJPAJH`@On@C^RCHZFBELR?`@T?J`@?NDABNKZQHMEUTQCITEh@N^PFCFf@BFZDB|AGNH|@Bn@Xr@@bBO^?^Iz@[XVJhAEr@BRMPOFQEm@PO?KKQDQEOFGNI@KJALe@BGEEH@PB@f@Er@Nn@BVV\\FBJLFlBEPC`@OZi@F_@CM@_@Ts@POZJLf@Eh@Mb@c@\\E`@]l@Ql@IFMr@Cp@MTEX]`@MXCHF^CZIZC`@Ob@Q~AYv@Kr@QXAVMCODWd@CPJ@Zd@Aj@q@lAK??JG@a@UBKb@o@H]FCBSFGDm@d@_@d@oA?OTo@Fg@NUT_CFQBWAWF[P_@Rq@T_@F_ABKLEFi@^g@@OPQJe@POHODSISAWT@NFNJDPb@^HNAJMJKIa@cAc@k@YcAMgASa@My@B_@Cg@JYD_@Nc@J[AIHSV_@b@cABYAQZk@AGTi@AE\\s@TKF]N[Nk@TM@KRWFSVWZk@FAFUPSJA@KJEBKn@G', 'resource_state': 2}","[37.64469179324806, -83.71427628211677]","[37.64480469748378, -83.71436378918588]",3.029,13.532,348.9,259.0,0,4.41,39.02,0.65
PMRP : Sore Heel Loop and Drive By Loop,8973.2,2836,2882,368.6,Run,2023-05-28T18:17:37Z,2023-05-28T14:17:37Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9159069458', 'summary_polyline': '{mwdFhl}}NEXUXo@?[^YPKCQt@eBvBeA|CY^Y|@GCQfAMDCZ]d@Ot@YZQhAMNm@WQcA[IWc@SBe@p@iAYg@Va@MBJEG_@RQe@_@YS?CTG?Ea@ICIY?NQAUk@i@G{@u@WHQOi@Ek@q@Ca@M@_@_@?k@WWSg@OgAMGKiAF[i@aBFWCQJQI?CSDI?SGKLDUi@KCI_@Bc@EAF}@JKCMBi@WKAq@FKI}@SIUUBQSSHc@IQBk@Ki@FYAiBII?HEOQXK@C]M?FINAJPY}@@OqAb@Gj@q@x@a@LYNBZDACVNGt@^AJLIc@FPCLRJx@MXJJP|@MfASZk@VQ^a@DSVAZT`@?TWx@C^DNtAKz@h@GLFf@GNGAFd@KFHXZBVTFd@Qr@H^PX`AZLNHh@RDMHYSODeAbA?Ku@e@o@Eg@XFf@MVOOEFYK[JCMPa@QFIKKJ_@QCBLJUl@OCo@XESHXBYPTPl@WUPNERFNQtAv@fASZHBBOLCMeABQl@PFLJMtBYBNRPd@MNYV@VXT@z@Yx@GBK`AT\\VlA_@Zb@RDr@xAHd@?TWRcAJAl@IRDVTCh@Pf@`@|@Q^B\\Xf@M|@d@r@?\\MVHvA]f@Y\\LLf@Dx@M`BiAM}@Vc@?]T]BIKOVIf@xA?fCf@xAABG`@Fn@OVc@JUN}BTSLLRt@G`Aa@n@Mn@Wd@e@VIrB_ApBCxAKLCf@OTK~AINo@pCu@`@Aj@f@PJGA`@_@x@u@p@a@MDCMJAVKC?l@N@V|AHDIKBE]GoAsAD@_@FQMw@Oe@CYLKKe@ZUQk@Jk@SOH_@?y@b@I?[GMIu@cBc@YO_@cALW[QJIGIm@K?F[AOMCDUMCCSIAYkAr@h@BG?HXXULBKHFIHb@YNVjA_@`@Fv@I\\u@LG?OTCMm@D]_@QCQk@nABHMd@Ec@UlAnAeCKQB[HDGXZLAFFId@@\\b@JI`@Xd@HTVz@A\\LHTLAFKz@ATTl@Dp@d@jA\\BHJEd@d@r@c@BQZ_@Jw@P[PqBTWLyBN_@@m@`@cANgAl@aAJc@TMh@eBB{@TN\\n@p@^LCIc@y@MWa@@SY@[g@GsAYaAQwA`@uB~@sBn@eCN[n@eAZsApAwAfAsBn@a@bAWH[', 'resource_state': 2}","[37.64462482184172, -83.71412750333548]","[37.64463094063103, -83.7141434289515]",3.164,16.328,349.9,259.0,0,5.58,47.27,0.79
PMRP : Lode Loop and Lode Hill,2615.8,843,849,96.5,Run,2023-05-12T19:53:27Z,2023-05-12T15:53:27Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9059541871', 'summary_polyline': 'unwdFhj}}NACDG?GOa@M??HE@@EC?EHKHEAAFQHO?AACDWWGACGKIEI?KGBEGICAGCCGACc@KMCMJKNCZDHER@DIFA@IPc@H]FM@KAGFECYIGISUKG@MME?KM]o@@QCOS[KCIKCQCEKF@GG@ADG?CCA??IKO@IBGACe@IIIKAEHS@HQGAHABDCMAJFACIE@CI?DDBIU@SDED@G@MAHGAQJIAIIOFKE]@BBEIIF@CEBF@_@Ek@HCBSGMBCBIFIBTBIPN@IHO@^BE@JNE@ACIIIICL]DEEDL^?PGFNFIE@HCVTALJFABEJAACF?@GBZEBBN@f@R?DD@NHADDDJ?HD@@FJFBNN@@FD?BLVXLJ?HD@DHAHBF^JVl@BDHAJLDNDBD?LPFBADHPETEJSPERKFEHBNCDAPCF@DANCF?FQf@@DMLEP@BEDATDRELBRGV@JY`@K?C@ENCUh@SFBTNF?DZDJ?LNp@DDLADSAS@_@FQX[D[Xc@FQDCHSPSFQj@g@RKD?BEL@RGPAP@\\XZLTAD@l@ENGHA@QGIB_@XSp@OHBNA\\LDB@FAJKDGAII?BBBFBD?FGGMKEO@SEa@AEBWb@MHA^UN?HOAGBGHEACDGAGOMGKDCGYKYCQKKAGFKVCEG?E?EFIKQNEAEXMTE?GFCJG@MXUXGVGDCJE@ARSNGL@TCh@QHCEMC@A', 'resource_state': 2}","[37.64475432224572, -83.71380949392915]","[37.644639406353235, -83.71410939842463]",3.103,7.168,339.3,267.6,0,1.63,14.05,0.23
PMRP : Lode Loop and Flat Holler Loop,9653.3,3349,3385,453.1,Run,2023-05-05T18:39:29Z,2023-05-05T14:39:29Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a9017048707', 'summary_polyline': 'kowdFvm}}Nu@VuClDm@bBWTMv@MA[p@QhAOPD\\m@r@[tAKE]tCNlA`@f@FlAb@z@b@ZvALfAOl@oEb@MKQ\\[Cm@Pq@h@EPLGh@QLLFQCPPETdAb@FNKFRh@j@IT]GY@k@LWP@JWTJJICNL\\`@_@EHx@ZOWF?Lw@VS\\D?XHBSJb@PDGFTK]\\EKGW^Br@t@Rd@Q\\PB\\T@bAw@[s@N]@e@\\GAQDJHQNXVETRNVr@EPQEZBw@BFBCH_@AJNECLTRIBDODVGOd@R?VOPLTd@q@CWX_@Dm@Qv@ZDOZ\\LTUe@d@KBRRXCWWFIk@Nt@Ne@l@AOVLPQSAYBVBNCJ_@JVm@SDFsA_@dAT@\\TFB`@j@B[Mg@F^FG@DCKCJBQCJRSDBNPESTGLHDIAb@ZCTJAEJ[R@IWCNP?DMd@f@UOc@gAz@N@IB^]ELEGLQW\\zBzDkDu@@MdASM[OJDDW?M]?RJFYI@LOs@Dx@OANwCs@jBIMOFK\\HVSFHTKF@X^Re@Re@HJJQPD`@SFNHRF`@FDHW?EPBLJJUCHPWBd@GYKi@Ru@c@\\NSLGIt@x@e@PZo@KWR@CYsA~BwAeA~FRoBeAc@Th@GHZHSOTGIb@[c@[BLMCDk@]a@OJEPH@SEJQ]@VQSWZg@IGP{@S_@cBEmA\\OS@b@s@GGZa@YMTQCBFYUs@pAg@g@Ml@D|@GTRX?XMb@D^e@bAy@KOiAh@mAKQHa@?WEOROEUT}@\\_@gBEQWs@Gi@Vk@Cq@r@a@YKTg@D_A@YGK[FQnATMFUy@i@]a@MIaA]w@Bu@Uk@@}A`@uBbA{Br@qC`@a@f@oATq@He@UAOXN^GHkAUa@PMIIZw@KaA@c@Ny@KqBcBi@Zc@?GYa@[eAL?WSQCPD]BNKNQSKDEWi@^a@ENGUsAL_@b@^KBD`@?ObAATSQkAVKFPn@@TSYuALDGIJWKDFENR@a@Q}@qAOYO@c@Oc@[FaA{@RE?Ot@`AZ]G_@\\AGIZ^|@]\\_A?SSEARK[]ASYqAUXw@EGTJe@D?ShB@dAnCF~@YrBRTVLFt@R`@IXD\\`@n@Dz@ID?RJVE^BV^\\l@C`@TVZRr@nBnAvE}@vByCt@k@z@QHYGg@', 'resource_state': 2}","[37.64486974105239, -83.71435523964465]","[37.644784580916166, -83.7140276748687]",2.882,14.712,332.0,259.2,1,6.0,55.82,0.93
PMRP : Drive By Loop and Lode Loop,5774.7,1769,1827,131.6,Run,2023-04-28T18:23:12Z,2023-04-28T14:23:12Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a8973585450', 'summary_polyline': 'anwdFrk}}N?LQh@?CILa@FWf@IAGJkAbAEN?LCFMDCFORCPSFELMFGLEDKXI@CPWr@GZKNKb@ONGZIN@TIL@JKNETQPCN?NGRIRKH[r@Kl@?^VbBFPB\\N`@Hj@Df@@p@CZ[`@ANMRANGR@NG@GLKCG?ENDRY\\KfASf@OTQh@APBD@p@GL[nBOh@EBBFCb@K^KJ?^GNCZSP@L]BMP]fB[v@Wd@APIR?TNHBNAHLf@ACAD@IC@B?@DAABBDb@DD{AcGOIS@c@\\KGI?SJWj@m@v@SH]?c@I_@@MC_@A_@FSICHIAUF@BMFa@B_@KKUME@GCCG@CGKG?MUSCG@GGCAGICEBGIQIW?KOK?c@WIHCGE@MO@[AQ[KOSCMGA?JEADUDEf@U?GVJHUKE\\ALMVAPHV\\AHFDHAXWTIb@HLM@GLEAWEAUe@YOAEMEG?CDJCJIAKTC@CRHBC?MGEQYFD@GTG@DFED\\FFF@LIb@NFEJ@DBFL\\NBFF?C@?BFJRE\\\\NQJLAGHAAFDJNLBFNEIPRHF?HIPBZOf@K@FR?BD@LT@HIJFBHLAPH@HHGDBBCLL@FTDJE@PDFD@TOHTNPVKBBNMR_@T_AHK?GDED]D?F_@AQDEJ_AL_@FE?a@GOFg@MYDKVSB]DEHAPa@NoA?MFI?IHIDUF?DG?QFW^WBG?KDAHQDc@FGDSQUh@CJFHTJFBJD@@DXJFNANW?U[a@cAQCCEG[CEMA@IK]BUO_ABGOc@AUEIBGES@aADET_A?KN[@GHILk@FCVi@?ODCLk@J]Xe@Pk@R[D?FMB@XaAJIJk@`@_@FALa@Ve@PURKFSFEBILCFMR?f@KDG@ICs@@k@M]GEAGQ@QLC?AJIBFGHc@JK@YBIEKBE?IDGBMB[NYHYCUF_@BC@SDG?[HIDM?GIOZQ?GEIAMKMAKi@a@Q]SUEUMCGUKQMIMYWMKWUKKSGS?SMMCK?QGa@GE@CIEBEAGKOE?IIML]@IGAh@ID@CEFCZNHCOWRQKH@ABSCRZBLG?CHBB?LGL@PKJQ@BD?HLJ?FM@GHH[JF@ACCTHFCCFL\\?TDD@JFD@FH@FKVFL\\GRRAFFH?@NZNTXJBDTCJF@HZLCCHJPVL^@FL?ZJTAVIZEJC\\IBUP?PIHUBo@OM@EE?GDFHr@XVV@BPCLTLBF?JHC@LDFJ@RGPSNI\\DNNATTj@', 'resource_state': 2}","[37.644651057198644, -83.71401585638523]","[37.644623816013336, -83.7140057142824]",3.264,11.087,333.2,258.4,1,3.59,29.48,0.49
PMRP : Sore Heel Loop,6867.9,2329,2376,228.5,Run,2023-04-13T18:21:31Z,2023-04-13T14:21:31Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a8885448119', 'summary_polyline': 'oqwdFzn}}NGNQN[h@eAnA?VcAbBKXORk@~Aa@fB_@l@e@zAQRWhA_@XYEI@m@SIMK_@[g@[Ic@HKAQHUCQJ]EEECDUHK_@OISKOBGIID@m@Q@KJUQOWWGGISIIJS_@G@KKM@MMGD[IGIQ?KOIFI[QUG_@KCSSEc@BMQMEKE@Us@?SMMAMGAK}@?WCGFGAMGUIGEi@GQ@KDEAIFYCC@UEEAOCE@OKOCUIMMg@Ac@BGAUBMAKHMCUGEFM@OC?EY?UG[CW@YI]Uc@BMCC?UIGGg@B[EKGm@H]F@ASGIAKMGKYE?Gi@]O?SAEC@@C?HD@UNKGO@CEFBGHEXg@p@SD[\\KAQRADSERT`@HZPDCPFJp@?XGZPr@@^Id@A^]n@INc@VELg@PGPC?AFDHAFNN?FCTKVAZ@@CHDCf@DVNd@JVn@H\\Gh@DVHTRLPl@?LOt@?HHNRJLLb@Nf@p@Jf@MLSAQGM@EVGBGPIBGJOBEAAKKICMo@?CAAQIAIFARKJGVIDKGWRQ@OCEOG?CMCH@WD?@GHF?MQCSP]F?FA?CJK@DCGJE?CHYHEHMABNGJ[ANHMTGBBGXI`@s@RLNRHETTJDK?@Dh@NlA`AEa@K]oA^AHGDJFDlAACIRPCUGFQd@Wh@IRKf@AJPBCAb@D@\\QNU^QXP`@DLKJ@LGRDBIP@@INAJMH?^RNALJZC|@@\\Z\\LT^HBPj@AXKd@_BfAFRRJJC`@^H?LJL?JHFAJHJAFKPEH@NLN?VDDDRIF@XJ@GZZR@r@KVBn@A\\QB@HGz@OP?LPHn@A\\BTGd@DBWn@iBLa@HYP{@FMJn@GRNp@@`@TFCPHPIPVVHRAh@Fn@?`@Q?IPEFIH_@CW?SDQCIBGCGXc@@ITBJJF\\HJCd@GPMR?PCNy@`BATGHK@ILGxAGHSj@MLMV?b@OjBw@jEQXSv@[NMVQHEHBJCA?HTHP?DVCl@UZ?TUNYL]@EM@M?QCCLGLQDSPc@Nk@AIPK@GXYT[DWEK?ERWx@iENaBDSBCC_@DMd@e@JWDa@Cc@PWCWJGBOJKBIAIF@BEb@y@H[PQAm@ESPCVBTXTBLTNHB^AHMFKGOe@KGK[m@i@Ks@ISKu@ECSaAA{@GWj@eCPi@d@cA@KFER}@Ro@`AwBHEHYP]@UBIVUCEPYHCfAeBZSHWNGFOAKFA^PPCPQ', 'resource_state': 2}","[37.645207112655044, -83.71454006060958]","[37.644659858196974, -83.71419346891344]",2.949,13.132,333.6,259.0,0,4.27,38.82,0.65
PMRP : Sore Heel Loop,6937.3,2128,2165,232.5,Run,2023-03-30T19:33:49Z,2023-03-30T15:33:49Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a8804960417', 'summary_polyline': 'wqwdFfo}}N]VgA`BMF?J[f@a@dAORIXQR[x@i@xBi@t@[rAMPQ~@KTk@IQQg@cASE[B_ACQEGFIG_@NQ?MIUFUCKPQc@s@MBICSm@M_@]c@KYWUe@Q?QHYMM?EIe@SGBSc@Cg@UEEKEA?g@IMAM[OEWBWIUMKEUIMI]BEC[FEDYGWWY?[FWEGDC@ICSEKFOO_@?GOW@SMc@@QEu@FEAKL?BIEY@GCG?GKOIq@DOKu@@UOUIy@O{@CKB[KUHWEM?e@UIEGBUGAAI@KUYMi@DMF?QLILGEKDAIYFMVAXOFANOFIPSBILYTIAGHOMML`@j@NE?D@EJ?CHLE?HPAHHALPNJ?B\\APBBSZDJD^Lj@APOXIj@MNM?MLI@QXCJWFIN[RTn@CFEv@CBDTt@DAEFGf@`@JVNLH\\A`@GLDVXj@VH@D?n@K\\ATVf@LDDLJ@d@^HAFZHD@TBBKBWOQAURK^OJITG@GUa@[MDIV?YMa@QDKNSEBGGRHX[ZSVUAQKB?@YBECCFECAAOICQNGIQBCEDJGD?JIJa@HAFKF]NJFEHGKKCAKIIKEIFAHHREi@THGGFTIGpC?\\M~@MaAjADDcA_@UnAHb@@PACFDADFLNDNTFBLGDDBGD?NBPa@`@HJIJBLKHJN`@HD?NNCZg@^[FAZN?NFDn@INK?Gh@OX?l@RP?H@BFJCDDd@Q`@?FLTVF@RXPh@LDHRE`@MTKDKAAFe@LKN?PHZELRLR@XTRENB@DRJBHR?P[NAHHN?BFJE\\NVB^XJ@`BCPIh@?XI@D\\Ub@GPBDH@\\DJAl@D\\Qf@QXu@Em@JECcA^q@NCHr@DFFLG`@FJH`@F@Jb@CBHPJj@Jp@?HJFAj@Ub@a@JUDBESBWCSDAT_ALOJBJRATHTEt@O`@GFm@rAKb@UTDRW~Ao@|@Gt@@LELCn@}@|EUb@@Re@z@WRE?EGAD?RLRNB@H@VM^@HOd@IJq@RIGC_@NQFMCEj@cAJu@d@OBMHGNYEc@LSF[N]b@sBN}@FcANk@C[RQJWRsATWBSRm@r@eAHk@DG?SFK?g@FBG?XFDJHD@JT^PDHJEQOMIUm@SSMMWAg@I]O]DM[cAAW@qAZwAZ}@\\m@P{@\\y@X}@j@gATSB]N_@?OXk@TUlAkBTMBQFM`@Mb@?FI', 'resource_state': 2}","[37.645242903381586, -83.71459303423762]","[37.644758680835366, -83.71428357437253]",3.26,13.85,342.9,259.0,1,4.31,35.47,0.59
PMRP : Sore Heel Loop,7214.2,2249,2272,219.1,Run,2023-03-25T17:59:19Z,2023-03-25T13:59:19Z,(GMT-05:00) America/New_York,-14400.0,"{'id': 'a8776433393', 'summary_polyline': 'qnwdFpm}}Nw@Ds@v@cA|Ac@d@eAdC_@d@Uf@a@tAOz@e@r@g@fBk@nAEBOKESOOCWUg@i@EKK?OYLOl@?J_AWIJ[EOFOGk@HSHEAI[_@Qe@FAUFa@Qa@]IGKSCGMI?OXGGSNMWGa@?PEKBKECED}@Ke@e@IZ?IOE?SGACSI@Aa@SIOaAMWSMC]MA@]QOEo@IE@YEKHU@WS]@GCGGC@GMB?WDIGIRa@Ds@O_@I?EMOq@@]M[@MV[Ga@DGGCHSKK@YOSD_@GEBMG?He@YU?GMQH@BGCQKMEUGADE?QOc@Ji@EE?]EKDIKUCU[IDMMIBOEQHC?YHe@LV?E]D@FYCIJOCGDEEC\\EBEZ?VGL?DMF?Fa@HSZODEH[DDDAFNFt@L`@`@AHFJGVBVEL?`@J\\AVHLOb@Gf@c@^KTc@Pc@^CJIBPn@Bd@Oh@WJECRGjADNTTLTCHHFl@An@GJ@RL^HAFLH?FPFb@KXAr@LT^JBLLBJOXRDN@ZP`@IF@BMPMGQo@K^OJAVIAATI@SKQJAGDHWLSWQ_@M?JU?a@H@GGKXD@EDFl@SLAJUAo@BEJG?WS?FGI?IB?EK@DCA@EP?BMDAKDOKQBGHIMK@CN?GI@JZe@PSTIBGOE@GGE@ANQEjBBPp@HJEBrCbAkASzALDr@FE@LNJAJNGPSFM^Jj@OR\\DABICGZMAGNC^LDI`@?f@NFKLAFRFDTEBDR@FM^EZj@DCFHNIAFDH@RVd@NJCf@KP[PEJm@`@ARTPHAZr@PHjAEr@FDLp@G~@`@LG\\BJM`@FZE@GNH^IHB@GZSH?VMDL^BAl@DBBr@Ex@GJa@Xa@@OKKPKGWLQAEBERQBUIc@R@L`AKd@TZGf@ZP@^XjAEj@Hh@c@FSFa@Gg@JWD?BGCWDSPIR?T@FJBZKh@DHMNEp@IXo@nACX_@`@WbBk@~@Kh@GvAaAhFQ\\ARMZW^K?SXL^RH@FEd@I^O`@s@ZSQ?URs@HENi@HIDa@d@i@J[HCXcAh@cCT{AFqALm@AKl@q@NyAJUH]?QFAz@cBFe@X}@f@JVr@JGVJCQMOQCM[M@AGMIWCO[CBGKG{@GIA]Ow@Ee@@YIi@JSPcAnAgDLo@Z_AtAqCA[DC@KRINQ`AwA`@}@f@_@FQ`@Fb@M', 'resource_state': 2}","[37.64473588205874, -83.71432648971677]","[37.64474040828645, -83.71427083387971]",3.208,9.295,348.8,259.0,0,4.48,37.48,0.62
