name,total_elevation_gain,type,id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,average_speed,max_speed,elev_high,elev_low,pr_count,distance_miles,moving_time_minutes,moving_time_hours
RRG : Rush Trail to Gray’s Arch Loop,173.8,Run,9464901645,2023-07-16T20:59:54Z,2023-07-16T16:59:54Z,(GMT-05:00) America/New_York,-14400.0,"[37.80793757177889, -83.65780010819435]","[37.80759441666305, -83.65820646286011]",2.659,6.223,392.0,255.0,0,3.92,39.57,0.66
RRG : Grays Arch Loop w/ Rush Trail,173.6,Run,9176575201,2023-05-31T15:42:37Z,2023-05-31T11:42:37Z,(GMT-05:00) America/New_York,-14400.0,"[37.80787202529609, -83.65785769186914]","[37.80757279135287, -83.65820646286011]",2.797,7.315,392.0,255.0,0,3.87,37.08,0.62
RRG : Courthouse Loop,279.2,Run,8880411991,2023-04-12T20:59:26Z,2023-04-12T16:59:26Z,(GMT-05:00) America/New_York,-14400.0,"[37.820134749636054, -83.68102812208235]","[37.820320911705494, -83.68090356700122]",2.519,7.558,398.4,237.7,0,5.13,54.58,0.91
RRG : Courthouse Loop,279.7,Run,8833532781,2023-04-04T20:51:28Z,2023-04-04T16:51:28Z,(GMT-05:00) America/New_York,-14400.0,"[37.82086850143969, -83.68028079159558]","[37.82011840492487, -83.68110347539186]",2.316,6.178,396.8,237.7,0,5.02,58.1,0.97
RRG : Natural Bridge Loop,146.0,Run,8654073455,2023-03-03T18:09:11Z,2023-03-03T13:09:11Z,(GMT-05:00) America/New_York,-18000.0,"[37.777872774749994, -83.67992456071079]","[37.7779726870358, -83.6798788793385]",2.517,8.235,400.0,263.0,0,2.37,25.25,0.42
RRG : Whites Branch Out and Back,180.3,Run,8601141195,2023-02-21T21:50:01Z,2023-02-21T16:50:01Z,(GMT-05:00) America/New_York,-18000.0,"[37.74299751967192, -83.68844987824559]","[37.74291277863085, -83.68745997548103]",2.426,5.339,415.2,343.4,0,3.3,36.45,0.61
RRG : Hanson’s Point Out and Back,167.9,Run,8489474084,2023-02-01T18:42:44Z,2023-02-01T13:42:44Z,(GMT-05:00) America/New_York,-18000.0,"[37.8078974224627, -83.65707105025649]","[37.807353269308805, -83.65593739785254]",1.881,4.164,390.8,346.5,0,4.96,70.72,1.18
RRG : Charmane Arch Out and Back,134.3,Run,8212187320,2022-12-05T21:18:10Z,2022-12-05T16:18:10Z,(GMT-05:00) America/New_York,-18000.0,"[37.660993840545416, -83.69700260460377]","[37.65997979789972, -83.69916287250817]",2.583,6.863,365.3,332.1,0,2.72,28.25,0.47
RRG : White’s Branch Out and Back,56.4,Run,8062853814,2022-11-03T14:51:23Z,2022-11-03T10:51:23Z,(GMT-05:00) America/New_York,-14400.0,"[37.74292283691466, -83.6875666771084]","[37.74295988492668, -83.68762090802193]",3.02,5.254,414.8,384.8,0,2.6,23.07,0.38
RRG : Rock Bridge Road and Loop,206.4,Run,6683286710,2022-02-14T17:31:12Z,2022-02-14T12:31:12Z,(GMT-05:00) America/New_York,-18000.0,"[37.76860021054745, -83.60632508061826]","[37.768545895814896, -83.60630596987903]",1.977,4.794,375.3,278.4,0,7.4,100.37,1.67
RRG : Chimney Top Road Out and Back,293.4,Run,6576275626,2022-01-24T19:28:38Z,2022-01-24T14:28:38Z,(GMT-05:00) America/New_York,-18000.0,"[37.7863032091409, -83.6051522847265]","[37.786047561094165, -83.6048446688801]",2.194,4.535,375.5,304.4,1,9.62,117.57,1.96
